,Facility Name,Type,Health Facility Code,Classification,Street Name and #,Zip Code,Region,Province,City/Municipality,Barangay Name,Landline Number,lon,lat
511,TANGOS HEALTH CENTER,Rural Health Unit,2940.0,Government,A. CRUZ STREET,1489.0,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",NAVOTAS,TANGOS,,120.9326894,14.6744266
512,ZAPOTE HEALTH CENTER (BAGONG LIPUNAN),Rural Health Unit,2944.0,Government,SANTOS VILLAGE,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,ZAPOTE,+63 028721894,0.0,0.0
513,TANDANG SORA HEALTH CENTER,Rural Health Unit,2946.0,Government,506 QUIRINO HIGHWAY,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,TALIPAPA,+63 024556904,121.0247081,14.6869206
514,OSPITAL NG PARANAQUE,Hospital,2995.0,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,LA HUERTA,+63 028254903,0.0,0.0
515,UNIVERSITY OF SANTO TOMAS HOSPITAL,Hospital,2997.0,Private,ESPAÑA BOULEVARD,1008.0,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,,+63 027313011,0.0,0.0
516,THE CLINIC OF THE HOLY SPIRIT INC,Hospital,3001.0,Private,"4 LA STREET IMMACULATE CONCEPTION, CUBAO",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,E. RODRIGUEZ,+63 021718047,121.052143,14.6273978
517,M-TECH MEDICAL HOSPITAL,Hospital,3012.0,Private,,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,,,121.0244452,14.554729
518,PALATIW HEALTH CENTER,Rural Health Unit,3023.0,Government,M.H. DEL PILAR,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,PALATIW,,121.0895701,14.560045
519,BAGONG SILANG PHASE 2 HEALTH CENTER,Rural Health Unit,3029.0,Government,BAGONG SILANG PHASE 2,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 176,,121.0382467,14.7841046
520,ALFONSO SPECIALISTS HOSPITAL,Hospital,3039.0,Private,185 DR. SIXTO ANTONIO AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,ROSARIO,+63 025711285,121.0805759,14.5766637
521,PALINGON HEALTH CENTER,Rural Health Unit,3053.0,Government,F. MANALO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,PALINGON,,121.0865346,14.531854
522,VELASQUEZ HEALTH CENTER,Rural Health Unit,3062.0,Government,NEPOMUCENO STREET CONER F VARONA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,,+63 022555201,0.0,0.0
523,PHILIPPINE NATIONAL POLICE GENERAL HOSPITAL,Hospital,3066.0,Government,"EDSA, CAMP CRAME",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BAGONG LIPUNAN NG CRAME,+63 027226850,121.0537382,14.6136104
524,SERRANO HEALTH CENTER,Rural Health Unit,3067.0,Government,SERRANO SUBDIVISION,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MARULAS,+63 024457199,120.9817703,14.673664
525,JESUS DE LA PEÑA HEALTH CENTER,Rural Health Unit,3071.0,Government,MALVAR STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,JESUS DE LA PE??A,+63 029480412,121.0918073,14.6339586
526,MALIBAY HEALTH CENTER,Rural Health Unit,3082.0,Government,MALIBAY PLAZA,1300.0,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 174,+63 028542684,0.0,0.0
527,LA HUERTA HEALTH CENTER,Rural Health Unit,3108.0,Government,KAPITAN TINOY EXTENSION,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,LA HUERTA,+63 028293589,0.0,0.0
528,PAMPLONA II HEALTH CENTER,Rural Health Unit,3113.0,Government,"AQUARIUS STREET, PAMPLONA PARIC SUBDIVISION",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,PAMPLONA DOS,+63 028723169,0.0,0.0
529,VALDEZ PADRON HOSPITAL,Hospital,3140.0,Private,"12 MARIANO STREET, GULOD",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,GULOD,+63 024199339,121.0397428,14.7118372
530,BULI HEALTH CENTER,Rural Health Unit,3163.0,Government,BULI BARANGAY HALL,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,BULI,,121.0499932,14.4435274
531,BAMBANG HEALTH CENTER,Rural Health Unit,3189.0,Government,VILLA ALFONSO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,BAMBANG,,121.080087,14.5554137
532,DELOS SANTOS - STI MEDICAL CENTER,Hospital,3191.0,Private,201 E. RODRIGUEZ SR. BOULEVARD,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,KALUSUGAN,+63 027220773,121.017648,14.619821
533,PULANG LUPA II HEALTH CENTER,Rural Health Unit,3209.0,Government,"ARIES STREET CORNER SAINT VINCENT, VILLA ISABELITA SUBDIVISION",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,PULANG LUPA DOS,+63 029945782,0.0,0.0
534,GUADALUPE NUEVO HEALTH CENTER,Rural Health Unit,3241.0,Government,NUESTRA SEÑORA DE GUADALUPE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,GUADALUPE NUEVO,+63 028811288,121.0458532,14.5615234
535,CRUZ-RABE MATERNITY AND GENERAL HOSPITAL,Hospital,3264.0,Private,37 GENERAL LUNA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,TUKTUKAN,+63 026423433,121.0714895,14.5308261
536,TUGATOG HEALTH CENTER,Rural Health Unit,3267.0,Government,22 A STREET PETER STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,VIENTE REALES,,120.9689892,14.7147165
537,METROPOLITAN MEDICAL CENTER,Hospital,3281.0,Private,1357 G. MASANGKAY STREET,1012.0,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,,+63 022550401,120.979214,14.609235
538,BO. FUGOSO HEALTH CENTER,Rural Health Unit,3288.0,Government,971 LUALHATI AND MATIISIN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 28,+63 022471470,0.0,0.0
539,PASCUAL GENERAL HOSPITAL,Hospital,3302.0,Private,130 QUIRINO HIGHWAY,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BAESA,+63 023625862,121.006702,14.665979
540,BAYANAN HEALTH CENTER (MAIN),Rural Health Unit,3320.0,Government,PUROK 4 SAN GUILLERMO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,BAYANAN,+63 028620124,121.0500372,14.4094624
541,BAGONG SILANG PHASE 10 HEALTH CENTER,Rural Health Unit,3323.0,Government,BAGONG SILANG PHASE 10,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 176,,121.0382467,14.7841046
542,TORRES BUGALLON HEALTH CENTER,Rural Health Unit,3349.0,Government,TORRES BUGALLON STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 5,,120.9727318,14.6564389
543,NORTH BAY BOULEVARD NORTH HEALTH CENTER,Rural Health Unit,3359.0,Government,PESCADOR 2 STREET,1411.0,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",NAVOTAS,"NORTH BAY BLVD., NORTH",+63 023835633,120.9559284,14.6417937
544,BALINGASA HEALTH CENTER,Rural Health Unit,3365.0,Government,J. AQUINO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BALINGASA,,121.0051936,14.6472488
545,CALZADA HEALTH CENTER,Rural Health Unit,3382.0,Government,RUHALE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,CALZADA,,121.0808034,14.5301089
546,SOUTH CEMBO HEALTH CENTER,Rural Health Unit,3392.0,Government,GENERAL DEL PILAR STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,SOUTH CEMBO,+63 027281830,121.0494246,14.5601941
547,"Q.C. ST. AGNES GENERAL HOSPITAL, INC.",Hospital,3416.0,Private,241 ROOSEVELT AVENUE SAN FRANCISCO DEL MONTE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,SAN ANTONIO,+63 023742769,121.0173875,14.6460813
548,TAGALAG HEALTH CENTER,Rural Health Unit,3423.0,Government,BALIKATAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,TAGALAG,+63 024454847,120.9374332,14.7245493
549,MERVILLE HEALTH CENTER AND LYING-IN CLINIC,Rural Health Unit,3455.0,Government,DALY ROAD CORNER SOUTH ADMIRAL VILLAGE,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,MERVILLE,+63 028243567,0.0,0.0
550,ERMIN GARCIA HEALTH CENTER,Rural Health Unit,3457.0,Government,NO. 53 CAMBRIDGE STREET CUBAO,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,E. RODRIGUEZ,,121.097729,14.5986507
551,CAMP GENERAL EMILIO AGUINALDO STATION HOSPITAL,Hospital,3467.0,Government,CAMP GENERAL EMILIO AGUINALDO,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,CAMP AGUINALDO,+63 029116001,121.0680551,14.6266955
552,KAMUNING SUPER HEALTH CENTER,Rural Health Unit,3482.0,Government,19 T. GENER STREET CORNER K 5TH STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,KAMUNING,,121.037023,14.626134
553,HOLY SPIRIT HEALTH CENTER,Rural Health Unit,3483.0,Government,373 SANTA CATALINA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,HOLY SPIRIT,,121.082779,14.6898594
554,COMMONWEALTH HEALTH CENTER,Rural Health Unit,3484.0,Government,KATUPARAN STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,COMMONWEALTH,,121.0822362,14.6966972
555,M. H. PEDRO HEALTH CENTER,Rural Health Unit,3485.0,Government,"13 JUANARIA P. EUGENIO STREET, PHILAND SUBDIVISION",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,PASONG TAMO,+63 029307970,121.0591368,14.6821382
556,BAGONG SILANG HEALTH CENTER,Rural Health Unit,3486.0,Government,SITIO BAGONG SILANG,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,SUCAT,,121.0492766,14.4546106
557,BALUBAD HEALTH CENTER,Rural Health Unit,3487.0,Government,BALUBAD STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,NANGKA,,121.1042699,14.6711774
558,MIRACULOUS MEDAL EMERGENCY MEDICAL CLINIC,Hospital,3488.0,Private,1815 LSWA BUILDING SINGALONG,1004.0,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",MALATE,,+63 025221088,0.0,0.0
559,OSPITAL NG MAYNILA MEDICAL CENTER,Hospital,3498.0,Government,"PRES. QUIRINO AVENUE, CORNER ROXAS BOULEVARD",1004.0,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",MALATE,,+63 025246061,0.0,0.0
560,OSPITAL NG MUNTINLUPA,Hospital,3499.0,Government,CIVIC DRIVE FILINVEST CORPORATE,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,ALABANG,+63 027710457,121.0476194,14.4170343
561,OSPITAL NG SAMPALOC,Hospital,3500.0,Government,677 GERONIMO CORNER CAROLA STREET,1008.0,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,,+63 027490222,0.0,0.0
562,ST. LUKES MEDICAL CENTER,Hospital,3522.0,Private,279 E. RODRIGUEZ SR. BOULEVARD,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,KALUSUGAN,+63 027230101,121.023238,14.622527
563,POBLACION HEALTH CENTER,Rural Health Unit,3545.0,Government,990B A. T. REYES STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,POBLACION,,121.0263149,14.5863712
564,PUGAD LAWIN HEALTH CENTER,Rural Health Unit,3546.0,Government,CHAMPACA II STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,FORTUNE,+63 029431283,121.1280781,14.6588752
565,J. POSADAS HEALTH CENTER,Rural Health Unit,3569.0,Government,NEPA STREET CORNER RODRIGUEZ STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,BARANGAY 139,+63 022537562,120.9677561,14.6312521
566,SAN ISIDRO HEALTH CENTER,Rural Health Unit,3571.0,Government,DOMINGA STREET,1306.0,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 48,+63 028315275,120.9985247,14.5567461
567,NORTH FAIRVIEW HEALTH CENTER,Rural Health Unit,3592.0,Government,AVON STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,NORTH FAIRVIEW,,121.0609846,14.7105586
568,MISSION HOSPITAL,Hospital,3626.0,Private,KM. 17 ORTIGAS AVENUE EXTENSION,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,ROSARIO,+63 026562816,121.109124,14.58749
569,PINALAGAD HEALTH CENTER,Rural Health Unit,3632.0,Government,PINAGPALA STREET AREA I,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MALINTA,+63 022927297,120.9631176,14.6907866
570,ADMIRAL HEALTH CENTER,Rural Health Unit,3676.0,Government,"SAN ISIDRO STREET, CARMENCITA VILLAGE",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,TALON TRES,+63 028011860,0.0,0.0
571,KASILAWAN HEALTH CENTER,Rural Health Unit,3732.0,Government,2094 E. PASCUA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,KASILAWAN,+63 028976494,121.01583,14.575866
572,PASO DE BLAS HEALTH CENTER,Rural Health Unit,3755.0,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,PASO DE BLAS,+63 022926372,120.9937706,14.7042539
573,CALALANG GENERAL HOSPITAL,Hospital,3765.0,Private,16R VALENZUELA STREET MC ARTHUR HIGHWAY,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MARULAS,+63 022916802,120.9817703,14.673664
574,DON GALO HEALTH CENTER,Rural Health Unit,3784.0,Government,ENRIQUE M. FACTOR ROAD,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,DON GALO,,0.0,0.0
575,CALLEJO MEDICAL CLINIC,Hospital,3790.0,Private,545A REAL STREET TALON GARDEN,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,TALON UNO,+63 028723795,0.0,0.0
576,DANIEL FAJARDO HEALTH CENTER,Rural Health Unit,3837.0,Government,PATOL STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,DANIEL FAJARDO,+63 028285308,0.0,0.0
577,ELYSIAN HEALTH CENTER,Rural Health Unit,3839.0,Government,ELYSIAN SUBDIVISION,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MARULAS,+63 024451864,120.9817703,14.673664
578,M. EARNSHAW HEALTH CENTER,Rural Health Unit,3840.0,Government,677 M. EARNSHAW STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,,+63 027498273,120.9932521,14.6063947
579,MA. CLARA HEALTH CENTER,Rural Health Unit,3841.0,Government,1801 MA. CLARA STREET CORNER PRUDENCIO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,BARANGAY 483,+63 027312661,120.9907935,14.6178704
580,A. MABINI HEALTH CENTER,Rural Health Unit,3842.0,Government,899 GONZALO PUYAT STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",QUIAPO,BARANGAY 392,+63 027357131,120.9833503,14.6007155
581,M. DELA CRUZ HEALTH CENTER,Rural Health Unit,3843.0,Government,M. DELA CRUZ STREET,1300.0,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 128,+63 028436003,121.0073823,14.5464566
582,AMANG RODRIGUEZ MEDICAL CENTER,Hospital,3872.0,Government,SUMULONG HIGHWAY,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,SANTO NI??O,+63 029420245,121.1013186,14.6350505
583,AMISOLA MATERNITY HOSPITAL,Hospital,3873.0,Private,1068 HERMOSA STREET,1013.0,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,,+63 022523335,120.978483,14.632708
584,SABATER GENERAL HOSPITAL,Hospital,3884.0,Private,20 CARUNCHO AVENUE,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SAN NICOLAS (POB.),+63 026418194,0.0,0.0
585,KALAYAAN HEALTH CENTER,Rural Health Unit,3889.0,Government,KALAYAAN VILLAGE,1309.0,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,BARANGAY 201,+63 028223694,121.0292165,14.5074854
586,TEJEROS HEALTH CENTER,Rural Health Unit,3897.0,Government,2903 H. SANTOS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,TEJEROS,+63 028909636,121.0150384,14.5749542
587,RINCON HEALTH CENTER,Rural Health Unit,3898.0,Government,FELO I SUBDIVISION,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,RINCON,,120.9597924,14.6995661
588,PROJECT 4 HEALTH CENTER,Rural Health Unit,3925.0,Government,P. TUAZON CORNER KALANTIAW STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BAGUMBUHAY,+63 029125244,121.0643796,14.6241218
589,POLO HEALTH CENTER,Rural Health Unit,3977.0,Government,74 M.H. DEL PILAR,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,POBLACION,,120.948814,14.713643
590,MANILA DOCTORS HOSPITAL,Hospital,3999.0,Private,667 UNITED NATIONS AVENUE,1000.0,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",ERMITA,BARANGAY 667,+63 025243011,120.982415,14.581165
591,NEOPOLITAN GENERAL HOSPITAL,Hospital,4022.0,Private,FLORDELIZA BLDG. KM23 LAGRO,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,GREATER LAGRO,+63 029364575,121.0631906,14.7275742
592,PILAR HEALTH CENTER,Rural Health Unit,4038.0,Government,"AGUIRRE ROAD, PILAR VILLAGE",,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,PILAR,+63 028004351,0.0,0.0
593,SAN ROQUE HEALTH CENTER,Rural Health Unit,4050.0,Government,M. ROXAS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,SAN ROQUE,,121.0969192,14.6219683
594,SANIBOY HEALTH CENTER,Rural Health Unit,4051.0,Government,SANIBOY STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,HULO,,121.0267081,14.5756343
595,LIGID HEALTH CENTER,Rural Health Unit,4082.0,Government,LABAO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",TAGUIG,LIGID-TIPAS,+63 026425378,121.0779377,14.5434511
596,NANGKA HEALTH CENTER,Rural Health Unit,4099.0,Government,BALUBAD STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MARIKINA,NANGKA,+63 029431279,121.1042699,14.6711774
597,NAMAYAN HEALTH CENTER,Rural Health Unit,4110.0,Government,CLARO CASTAÑEDA,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,NAMAYAN,,121.0193429,14.5802553
598,BEATO-CAUILAN HOSPITAL,Hospital,4123.0,Private,BLOCK 9 LOT 1 VILLA CAROLINA SUBDIVISION,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MUNTINLUPA,TUNASAN,+63 028615284,121.0363768,14.3725455
599,QUEZON CITY GENERAL HOSPITAL,Hospital,4124.0,Government,"SEMINARY ROAD, EDSA",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BAHAY TORO,+63 024554801,121.0175356,14.6577642
600,VIAN FAMILY HOSPITAL,Hospital,4135.0,Private,4041 QUE GRANDE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,UGONG,+63 024543433,121.0144633,14.6965791
601,PALTOC HEALTH CENTER,Rural Health Unit,4151.0,Government,SAN JOSE STREET CORNER PUREZA STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",SAMPALOC,BARANGAY 421,+63 027150356,121.0042816,14.6024995
602,MAYOR DELFIN C. SALONGA MEMORIAL HEALTH CENTER,Rural Health Unit,4171.0,Government,EMERALD SUBDIVISION M. LOZADO STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PATEROS,SANTO ROSARIO-KANLURAN,+63 026413246,121.0675488,14.5517584
603,SUMILANG SUPER HEALTH CENTER,Rural Health Unit,4173.0,Government,,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF PASIG,SANTA ROSA,,121.0851097,14.5763768
604,UGONG HEALTH CENTER,Rural Health Unit,4235.0,Government,4037 QUE GRANDE STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,UGONG,+63 029837053,121.0144633,14.6965791
605,BF CARNIVAL HEALTH CENTER,Rural Health Unit,4278.0,Government,BF CARNIVAL,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,TALON DOS,+63 028714208,0.0,0.0
606,BAGBAGUIN HEALTH CENTER,Rural Health Unit,4311.0,Government,GENERAL LUIS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",KALOOKAN CITY,BARANGAY 165,,0.0,0.0
607,SITIO MALIGAYA (BACLARAN) HEALTH CENTER,Rural Health Unit,4349.0,Government,108 SITIO MALIGAYA,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAAQUE,BACLARAN,+63 028538826,0.0,0.0
608,DIVINE HEART MEDICAL SERVICE AND DEVELOPMENT COOPERATIVE (DIHMESCO HOSPITAL),Hospital,4355.0,Private,215 GEN. LUIS STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,NAGKAISANG NAYON,+63 029374552,121.0234757,14.719623
609,BATASAN HILLS ANNEX HEALTH CENTER,Rural Health Unit,4364.0,Government,"1 BILL STREET, TALANAY A",,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,BATASAN HILLS,,121.0965637,14.681641
610,QUEENSBERRY HOSPITAL,Hospital,4385.0,Private,56 RAMIREZ STREET,,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,NOVALICHES PROPER,+63 024175827,121.0300684,14.7236059
611,MARULAS MEGA HEALTH CENTER,Rural Health Unit,4390.0,Government,TAMARAW HILLS,,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA,MARULAS,+63 022917284,120.9823111,14.6791571
612,ALABANG MEDICAL CLINIC - LAS PINAS BRANCH,Hospital,4395.0,Private,Alabang-Zapote Rd. cor. Mendoza St. Pelayo Village,,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF LAS PIAS,TALON UNO,+63 028742506,0.0,0.0
